RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0938,021,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4.5,,34,,21,,RGR,,,,,,51.23466667,8.654,10.043,13.742,14.273,7.724,12.327,10.82,7.13,51.332,51.386,50.986,7.836,8.654,10.043,8.102,13.715,13.742,14.273,7.724,5.635,11.818,10.82,6.616,12.327,10.622,7.13
RGR0939,022,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.7,,33,,20,,RGR,,,,,,43.90233333,7.017,9.608,12.117,12.873,7.118,10.303,9.857,7.398,43.784,43.907,44.016,7.017,6.579,9.46,9.608,11.897,12.117,12.873,6.79,7.118,9.808,9.857,6.753,10.303,9.661,7.398
RGR0940,023,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.5,,30,,17,,RGR,,,,,,38.36633333,5.665,7.737,10.078,10.843,5.859,9.547,8.502,6.091,38.286,38.409,38.404,4.989,5.665,7.737,7.633,10.078,9.843,10.843,5.859,5.821,9.277,8.502,5.763,9.547,8.433,6.091
RGR0941,024,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.4,,32,,17,,RGR,,,,,,36.688,5.657,7.834,10.611,11.073,5.865,9.013,7.729,5.572,36.797,36.681,36.586,4.623,5.657,7.587,7.834,10.611,10.302,11.073,5.865,5.382,8.676,7.729,5.572,9.013,7.62,5.285
RGR0942,025,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,2.0,,32,,18,,RGR,,,,,,38.69666667,5.076,7.625,10.367,10.84,4.8,9.093,7.888,5.301,38.777,38.719,38.594,5.076,5.069,7.219,7.625,10.367,10.273,10.84,4.8,4.342,8.998,7.85,5.301,9.093,7.888,5.28
RGR0943,026,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,0.8,,32,,18,,RGR,,,,,,30.44,4.536,6.41,8.274,9.2,4.043,7.208,6.716,4.709,30.692,30.434,30.194,3.899,4.536,6.41,6.382,8.267,8.274,9.2,4.043,4.029,6.996,6.716,4.677,7.208,6.462,4.709
RGR0944,027,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.1,,30,,17,,RGR,,,,,,31.547,4.727,6.53,9.503,9.797,4.658,7.914,7.091,5.086,31.531,31.575,31.535,4.454,4.727,6.479,6.53,9.503,8.936,9.797,4.112,4.658,7.615,7.091,5.086,7.914,6.669,5.003
RGR0945,028,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4.5,,35,,20,,RGR,,,,,,51.03066667,7.999,11.145,13.715,14.364,8.201,12.173,10.695,7.289,51.12,51.101,50.871,7.967,7.999,10.988,11.145,13.715,13.375,14.364,7.504,8.201,12.077,10.695,6.919,12.173,10.557,7.289
RGR0946,029,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.9,,35,,19,,RGR,,,,,,42.97733333,7.106,9.883,12.329,12.874,7.168,11.407,11.314,7.968,42.901,42.97,43.061,7.106,6.048,9.883,8.917,12.329,12.143,12.874,6.994,7.168,11.407,11.314,7.968,10.428,10.09,6.425
RGR0947,030,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,6.0,,34,,19,,RGR,,,,,,57.56133333,8.013,11.032,14.365,14.82,8.824,12.695,11.073,7.782,57.487,57.495,57.702,8.013,7.739,11.032,10.668,14.365,14.328,14.82,8.35,8.824,12.695,11.073,7.782,12.305,10.772,7.516
RGR0948,031,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5.1,,33,,18,,RGR,,,,,,55.369,8.274,10.609,14.582,14.952,8.708,13.911,11.125,7.766,55.29,55.331,55.486,8.274,7.981,10.609,9.074,14.582,14.269,14.952,8.242,8.708,12.994,10.872,7.755,13.911,11.125,7.766
RGR0949,032,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,4.0,,34,,20,,RGR,,,,,,50.936,7.2,10.62,13.055,13.779,8.109,11.686,10.608,7.204,51.009,50.73,51.069,7.2,7.187,9.953,10.62,13.055,13.026,13.779,8.036,8.109,11.468,10.608,6.637,11.686,10.196,7.204
RGR0950,033,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.3,,33,,20,,RGR,,,,,,50.98533333,7.375,10.614,13.914,14.58,6.871,12.096,11.018,7.161,51.085,50.74,51.131,7.375,5.816,10.179,10.614,13.914,13.747,14.58,6.077,6.871,12.049,10.955,7.161,12.096,11.018,6.725
RGR0951,034,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.4,,34,,19,,RGR,,,,,,43.23666667,7.388,9.331,12.099,12.69,6.765,11.508,9.896,6.608,43.412,43.512,42.786,5.58,7.388,9.331,9.154,11.913,12.099,12.69,6.618,6.765,11.508,9.258,6.608,11.425,9.896,6.5
RGR0952,035,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.2,,34,,21,,RGR,,,,,,50.18266667,7.851,10.964,13.713,14.105,8.313,12.539,10.888,7.493,50.194,50.18,50.174,7.612,7.851,10.841,10.964,13.713,13.43,14.105,7.359,8.313,11.879,10.886,7.493,12.539,10.888,6.977
RGR0953,036,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.0,,34,,21,,RGR,,,,,,47.01166667,6.986,9.833,12.672,13.441,7.497,11.521,9.944,7.385,47.296,46.949,46.79,6.382,6.986,9.833,9.214,12.672,12.635,13.441,7.114,7.497,11.056,9.944,6.24,11.521,9.784,7.385
RGR0954,037,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.7,,33,,20,,RGR,,,,,,47.68533333,7.265,10.493,12.558,13.223,8.022,11.515,10.492,7.161,47.571,47.425,48.06,6.633,7.265,8.65,10.493,12.392,12.558,13.223,8.022,7.691,11.515,10.412,6.958,11.226,10.492,7.161
RGR0955,038,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.8,,33,,20,,RGR,,,,,,42.235,6.657,9.104,12.526,12.934,6.456,10.474,9.556,6.77,42.318,42.274,42.113,6.657,6.424,9.104,8.767,12.526,11.882,12.934,6.43,6.456,10.005,8.989,6.305,10.474,9.556,6.77
RGR0956,039,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.7,,33,,20,,RGR,,,,,,46.23466667,7.219,9.514,12.555,13.214,7.43,11.097,10.206,6.823,46.033,46.452,46.219,7.219,7.02,9.491,9.514,12.555,12.259,13.214,7.217,7.43,11.097,10.206,6.37,11.042,9.99,6.823
RGR0957,040,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,4.0,,34,,21,,RGR,,,,,,49.51033333,7.608,11.225,13.38,13.877,7.318,12.275,11.154,7.434,49.618,49.596,49.317,7.305,7.608,11.225,11.018,13.38,13.1,13.877,7.13,7.318,11.677,11.154,7.434,12.275,10.772,6.947
RGR0958,041,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.9,,34,,20,,RGR,,,,,,49.26733333,7.518,9.371,13.517,13.799,7.893,11.499,10.904,7.234,49.452,49.221,49.129,7.518,6.968,9.371,,13.517,12.854,13.799,7.389,7.893,11.346,10.774,6.91,11.499,10.904,7.234
RGR0959,042,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.8,,33,,19,,RGR,,,,,,49.91466667,8.042,10.467,13.447,13.937,7.883,12.248,11.165,7.481,50.078,49.87,49.796,6.854,8.042,10.467,10.395,13.447,13.353,13.937,7.883,7.481,12.248,10.848,7.441,12.156,11.165,7.481
RGR0960,043,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.5,,34,,20,,RGR,,,,,,50.34366667,7.322,10.366,14.159,14.211,7.608,11.538,10.601,7.04,50.434,50.106,50.491,7.179,7.322,10.366,9.004,14.159,13.714,14.211,7.608,7.208,11.538,10.517,6.961,11.485,10.601,7.04
RGR0961,044,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,2.7,,34,,20,,RGR,,,,,,47.079,8.128,10.113,12.913,14.079,7.559,12.242,10.983,7.55,46.841,47.375,47.021,8.128,7.443,9.442,10.113,12.913,12.459,14.079,6.732,7.559,12.242,10.983,7.497,11.901,10.933,7.55
RGR0962,045,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.4,,32,,19,,RGR,,,,,,50.544,8.02,9.748,12.992,13.965,8.033,11.921,10.842,7.168,50.912,50.274,50.446,8.02,7.974,9.724,9.748,12.975,12.992,13.965,7.481,8.033,11.571,10.758,7.168,11.921,10.842,6.705
RGR0963,046,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.8,,32,,20,,RGR,,,,,,48.469,7.495,10.54,13.35,14.057,6.891,11.662,10.374,7.161,48.381,48.578,48.448,7.495,6.669,10.199,10.54,13.35,12.815,14.057,6.327,6.891,11.205,10.374,6.91,11.662,9.875,7.161
RGR0964,047,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.9,,32,,21,,RGR,,,,,,50.081,7.693,10.412,13.765,14.328,7.047,12.343,11.022,7.023,50.33,49.799,50.114,7.295,7.693,10.381,10.412,13.765,13.378,14.328,7.028,7.047,12.243,11.022,7.003,12.343,10.374,7.023
RGR0965,048,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.7,,34,,20,,RGR,,,,,,48.92366667,7.62,10.515,12.643,13.384,7.679,12.377,10.75,6.993,48.96,48.904,48.907,7.381,7.62,10.515,,12.643,12.494,13.384,7.068,7.679,12.034,10.559,6.993,12.377,10.75,6.798
RGR0966,049,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,M,3.9,,34,,21,,RGR,,,,,,51.43166667,7.367,10.356,13.437,13.94,7.736,12.496,11.28,7.442,51.33,51.152,51.813,6.782,7.367,10.276,10.356,13.437,12.879,13.94,7.736,7.232,12.496,11.28,7.442,11.609,11.173,7.144
RGR0967,050,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.5,,30,,NA,,RGR,,,,,,39.47933333,5.082,7.415,10.543,11.849,4.293,8.643,7.958,4.886,39.676,39.399,39.363,5.082,4.154,7.415,7.076,10.543,10.449,11.849,4.293,,8.428,7.958,4.886,8.643,7.6,4.879
RGR0968,051,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.3,,31,,18,,RGR,,,,,,37.53866667,4.906,7.082,9.855,10.722,5.248,8.271,7.481,5.406,37.705,37.429,37.482,4.748,4.906,7.082,7.001,9.855,9.762,10.722,5.248,4.458,8.271,7.481,5.146,8.268,7.293,5.406
RGR0969,052,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.2,,32,,18,,RGR,,,,,,37.28033333,5.382,7.285,9.821,11.082,5.4,8.014,7.483,5.146,37.372,37.194,37.275,5.382,5.281,7.285,6.888,9.821,9.69,11.082,5.4,5.06,8.014,7.483,5.087,8.006,7.306,5.146
RGR0970,053,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.2,,31,,18,,RGR,,,,,,36.78833333,5.009,7.166,9.977,11.2,4.876,8.741,7.465,5.29,36.435,37.077,36.853,4.854,5.009,7.166,6.866,9.977,9.825,11.2,4.807,4.876,8.182,7.465,5.29,8.741,7.216,5.008
RGR0971,054,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.6,,33,,17,,RGR,,,,,,38.73266667,5.167,7.885,10.108,11.277,5.18,9.031,8.005,5.22,39.084,38.603,38.511,4.345,5.167,7.682,7.885,10.108,10.045,11.277,4.203,5.18,9.031,8.005,5.22,8.888,7.932,5.157
RGR0972,055,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.3,,31,,18,,RGR,,,,,,36.60266667,5.062,7.488,10.224,10.741,4.847,8.765,8.122,5.458,36.834,36.225,36.749,5.048,5.062,7.488,7.112,10.224,9.915,10.741,4.61,4.847,8.765,8.122,5.097,8.545,7.716,5.458
RGR0973,056,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.4,,30,,17,,RGR,,,,,,38.215,5.155,7.154,10.687,11.11,5.077,8.645,7.628,5.254,38.187,38.068,38.39,5.155,5.092,7.04,7.154,10.687,10.043,11.11,4.658,5.077,8.431,7.57,5.157,8.645,7.628,5.254
RGR0974,057,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.3,,31,,18,,RGR,,,,,,37.89966667,5.514,7.249,10.479,11.349,4.852,8.733,8.055,5.455,38.031,37.613,38.055,5.155,5.514,7.249,7.174,10.479,10.183,11.349,4.812,4.852,8.456,7.822,5.443,8.733,8.055,5.455
RGR0975,058,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.4,,33,,18,,RGR,,,,,,38.32933333,5.205,7.954,10.63,11.212,4.613,9.084,8.042,5.57,38.191,38.287,38.51,4.526,5.205,7.954,7.762,10.63,10.248,11.212,3.894,4.613,8.947,8.042,5.57,9.084,7.938,5.301
RGR0976,059,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.3,,32,,17,,RGR,,,,,,36.91533333,5.036,7.596,10.38,10.788,5.511,8.335,7.688,5.31,36.947,36.939,36.86,4.108,5.036,7.022,7.596,10.38,9.908,10.788,5.511,5.436,8.335,7.346,5.301,8.179,7.688,5.31
RGR0977,060,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.3,,31,,18,,RGR,,,,,,36.57833333,5.444,7.297,9.828,10.462,4.936,8.529,7.457,5.263,36.559,36.341,36.835,5.444,5.076,7.132,7.297,9.828,9.66,10.462,4.751,4.936,8.529,7.428,5.263,8.511,7.457,5.174
RGR0978,061,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.2,,30,,18,,RGR,,,,,,37.942,5.301,7.08,10.613,11.113,5.759,8.875,8.079,5.571,38.427,37.696,37.703,5.301,5.033,7.08,7.004,10.613,10.599,11.113,5.759,5.698,8.875,8.079,5.214,8.614,7.833,5.571
RGR0979,062,N,20151112,CaymanBrac,Bight Road,coppice,19.720920,-79.788690,F,1.2,,31,,17,,RGR,,,,,,35.44433333,4.876,7.111,9.799,10.314,4.648,8.214,7.401,5.157,35.528,35.293,35.512,4.85,4.876,7.111,6.929,9.799,9.276,10.314,4.648,4.533,8.214,7.401,5.157,8.101,7.282,5.143
RGR0980,063,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,5.2,,32,,21,,RGR,,,,,,55.57433333,8.231,10.604,13.621,13.567,6.711,12.482,10.94,7.36,55.124,55.467,56.132,7.963,8.231,10.325,10.604,13.621,13.546,13.567,6.711,5.537,12.083,10.94,7.36,12.482,10.883,7.161
RGR0981,064,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.7,,27,,17,,RGR,,,,,,37.151,5.162,6.964,10.081,10.812,4.741,8.849,7.612,5.325,37.113,37.272,37.068,5.162,5.156,6.964,,10.081,9.703,10.812,4.741,4.733,8.849,7.513,5.007,8.644,7.612,5.325
RGR0982,065,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,4.4,,31,,19,,RGR,,,,,,50.59866667,8.081,10.312,13.978,14.468,7.54,11.827,10.667,7.229,50.724,50.55,50.522,7.791,8.081,10.276,10.312,13.426,13.978,14.468,7.119,7.54,11.827,10.667,7.134,11.254,10.349,7.229
RGR0983,066,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,2.5,,30,,20,,RGR,,,,,,41.961,6.953,9.078,11.506,12.242,6.668,10.926,9.353,6.617,42.003,41.871,42.009,6.41,6.953,9.078,8.736,11.506,11.322,12.242,6.433,6.668,10.926,9.353,5.824,10.349,9.068,6.617
RGR0984,067,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,3.7,,33,,20,,RGR,,,,,,48.999,7.262,10.181,13.847,14.258,7.323,11.699,10.323,7.21,48.903,49.156,48.938,7.138,7.262,10.181,9.651,13.847,13.71,14.258,7.229,7.323,11.699,10.323,7.094,11.687,10.153,7.21
RGR0985,068,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,4.1,,34,,20,,RGR,,,,,,50.07066667,7.671,10.173,13.457,14.153,7.983,11.795,10.625,7.163,50.045,50.141,50.026,7.312,7.671,10.173,10.158,13.457,13.122,14.153,7.807,7.983,11.795,10.625,7.163,11.387,10.2,7.163
RGR0986,069,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,3.8,,34,,21,,RGR,,,,,,50.43133333,8.248,11.038,13.653,14.186,8.129,12.218,11.004,7.477,50.865,50.451,49.978,8.165,8.248,10.475,11.038,13.641,13.653,14.186,8.026,8.129,12.218,11.004,7.293,12.119,10.442,7.477
RGR0987,070,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,3.5,,34,,20,,RGR,,,,,,44.21666667,8.036,10.336,12.648,12.984,7.807,12.036,10.65,7.179,44.262,44.17,44.218,7.763,8.036,9.834,10.336,12.648,12.584,12.984,7.807,7.709,12.036,10.254,7.179,11.525,10.65,6.961
RGR0988,071,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,4.4,,36,,19,,RGR,,,,,,51.20533333,7.764,10.754,13.485,13.55,7.818,12.704,11.04,7.45,51.44,51.188,50.988,7.367,7.764,10.754,9.874,12.858,13.485,13.55,7.818,4.564,12.704,10.466,7.45,11.228,11.04,7.094
RGR0989,072,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,2.7,,32,,20,,RGR,,,,,,46.67666667,7.225,9.541,12.348,12.742,6.636,11.062,9.532,6.711,46.787,46.595,46.648,6.921,7.225,9.541,9.438,12.266,12.348,12.742,6.636,6.556,10.972,9.482,6.452,11.062,9.532,6.711
RGR0990,073,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,3.7,,32,,20,,RGR,,,,,,47.48966667,7.281,10.184,11.901,12.648,6.561,11.506,10.269,7.394,47.634,47.885,46.95,7.281,7.219,10.14,10.184,11.901,11.715,12.648,6.561,6.456,11.506,10.124,7.04,11.494,10.269,7.394
RGR0991,074,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,2.6,,34,,20,,RGR,,,,,,41.81333333,6.491,9.167,11.16,11.418,6.799,11.26,10.183,6.946,42.002,41.602,41.836,6.239,6.491,9.155,9.167,11.16,10.845,11.418,6.799,6.781,11.062,9.414,6.946,11.26,10.183,6.511
RGR0992,075,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,3.8,,33,,18,,RGR,,,,,,49.216,7.793,10.35,13.388,13.688,7.421,11.402,10.332,7.298,49.273,49.177,49.198,7.576,7.793,10.165,10.35,13.388,13.212,13.688,6.614,7.421,11.402,10.089,7.061,11.022,10.332,7.298
RGR0993,076,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,4.8,,31,,19,,RGR,,,,,,51.19433333,7.7,10.81,13.708,14.475,7.419,11.966,10.589,7.519,51.247,51.222,51.114,7.7,6.818,10.228,10.81,13.708,13.552,14.475,6.209,7.419,11.632,10.507,7.29,11.966,10.589,7.519
RGR0994,077,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,2.2,,34,,20,,RGR,,,,,,40.734,6.604,8.485,11.351,11.73,5.868,10.13,8.691,6.798,40.668,40.848,40.686,6.192,6.604,8.475,8.485,11.351,11.289,11.73,5.263,5.868,10.13,8.548,6.138,9.676,8.691,6.798
RGR0995,078,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,4.3,,31,,19,,RGR,,,,,,49.358,7.965,10.401,13.266,13.844,6.968,12.124,10.76,7.273,49.655,49.313,49.106,7.613,7.965,10.245,10.401,13.266,12.994,13.844,6.891,6.968,12.124,10.513,7.273,11.793,10.76,7.161
RGR0996,079,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,0.9,,31,,18,,RGR,,,,,,31.18966667,4.628,6.785,8.732,9.455,4.939,7.819,6.96,4.822,31.184,31.139,31.246,4.176,4.628,6.285,6.785,8.732,8.629,9.455,4.939,4.643,7.819,6.838,4.822,7.428,6.96,4.697
RGR0997,080,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.6,,32,,18,,RGR,,,,,,37.47266667,5.537,7.758,10.364,10.82,5.082,9.084,7.663,5.622,37.492,37.686,37.24,5.236,5.537,7.498,7.758,9.866,10.364,10.82,4.568,5.082,9.084,7.663,5.383,8.513,7.543,5.622
RGR0998,081,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.5,,32,,18,,RGR,,,,,,35.88,5.389,7.011,10.092,10.413,4.748,8.321,7.576,5.114,35.798,35.894,35.948,5.389,4.985,7.011,7.011,10.092,9.971,10.413,4.748,4.662,8.321,7.369,4.781,8.321,7.576,5.114
RGR0999,082,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.6,,32,,18,,RGR,,,,,,38.215,5.645,7.923,9.926,10.551,4.839,8.582,7.667,5.292,38.307,38.166,38.172,5.471,5.645,7.923,7.866,9.926,9.84,10.551,4.839,4.779,8.582,7.667,4.992,8.223,7.55,5.292
RGR1000,083,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.4,,33,,17,,RGR,,,,,,37.27933333,5.267,7.931,10.045,10.668,4.522,8.392,7.55,5.437,37.148,37.301,37.389,5.267,5.179,7.505,7.931,10.043,10.045,10.668,4.522,4.15,8.38,7.126,4.896,8.392,7.55,5.437
RGR1001,084,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.6,,32,,19,,RGR,,,,,,37.825,5.876,7.656,10.148,10.979,5.347,8.937,7.855,5.622,37.844,37.926,37.705,5.139,5.876,7.656,7.577,10.049,10.148,10.979,5.347,5.296,8.937,7.847,5.596,8.737,7.855,5.622
RGR1002,085,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,0.7,,30,,18,,RGR,,,,,,29.571,4.293,6.614,8.798,9.275,3.806,7.28,6.444,4.463,29.756,29.519,29.438,4.293,3.899,6.614,6.137,8.755,8.798,9.275,3.378,3.806,7.184,6.444,4.191,7.28,5.951,4.463
RGR1003,086,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.4,,30,,17,,RGR,,,,,,36.50433333,5.234,7.395,9.953,10.494,4.68,8.559,7.482,5.334,36.549,36.424,36.54,4.798,5.234,7.395,7.3,9.953,9.949,10.494,3.417,4.68,8.333,7.482,5.334,8.559,7.354,5.098
RGR1004,087,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.7,,32,,18,,RGR,,,,,,38.204,5.498,7.58,10.346,11.247,5.252,8.878,8.182,5.577,38.495,38.107,38.01,5.224,5.498,7.58,7.302,10.346,10.283,11.247,5.252,4.657,8.878,7.735,5.577,8.5,8.182,5.386
RGR1005,088,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.4,,32,,17,,RGR,,,,,,37.27233333,5.975,7.535,9.835,10.544,4.844,8.804,7.823,5.542,37.207,37.327,37.283,4.915,5.975,7.255,7.535,9.733,9.835,10.544,4.612,4.844,8.41,7.823,5.542,8.804,7.651,5.366
RGR1006,089,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.6,,30,,18,,RGR,,,,,,36.60666667,5.275,7.537,10.319,11.218,5.317,8.299,7.512,5.204,36.671,36.339,36.81,5.059,5.275,7.537,7.245,10.257,10.319,11.218,4.158,5.317,8.299,7.481,5.057,8.246,7.512,5.204
RGR1007,090,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.7,,32,,19,,RGR,,,,,,37.36666667,5.484,7.622,10.095,10.668,4.844,8.634,7.926,5.536,36.653,37.75,37.697,5.376,5.484,7.622,7.473,10.094,10.095,10.668,4.844,4.797,8.634,7.926,5.456,8.558,7.718,5.536
RGR1008,091,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.6,,31,,18,,RGR,,,,,,37.427,5.182,7.345,10.009,10.662,4.639,8.52,7.818,5.577,37.482,37.347,37.452,4.852,5.182,7.345,7.144,9.785,10.009,10.662,4.639,4.364,8.52,7.564,5.421,8.248,7.818,5.577
RGR1009,092,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.3,,30,,17,,RGR,,,,,,35.09266667,4.983,7.42,9.985,10.914,5.171,8.728,7.724,5.515,35.06,35.103,35.115,4.983,4.654,7.42,7.288,9.522,9.985,10.914,4.911,5.171,8.728,7.591,5.189,8.292,7.724,5.515
RGR1010,093,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.2,,36,,20,,RGR,,,,,,35.057,5.285,7.506,9.857,10.489,5.229,8.254,7.555,5.495,35.027,35.192,34.952,5.237,5.285,7.506,7.413,9.857,9.717,10.489,5.177,5.229,8.254,7.555,5.495,8.182,7.535,4.912
RGR1011,094,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,1.7,,31,,17,,RGR,,,,,,37.625,5.431,7.921,9.901,11.078,4.728,8.485,7.912,5.52,37.483,37.843,37.549,4.935,5.431,7.806,7.921,9.901,9.712,11.078,4.59,4.728,8.485,7.912,5.52,8.351,7.893,5.322
RGR1012,095,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,F,0.8,,28,,18,,RGR,,,,,,31.60433333,4.446,6.592,8.671,9.872,3.284,7.791,6.969,4.757,31.696,31.549,31.568,4.446,3.746,6.592,6.48,8.603,8.671,9.872,2.889,3.284,7.791,6.969,4.546,7.652,6.813,4.757
RGR1013,096,N,20151113,CaymanBrac,South Coast- West End,coastal,19.687840,-79.862650,M,2.5,,31,,19,,RGR,,,,,,45.19233333,7.148,9.23,11.979,12.415,6.352,11.174,9.91,6.627,45.332,45.06,45.185,6.427,7.148,9.042,9.23,11.979,11.589,12.415,5.551,6.352,10.34,9.664,6.332,11.174,9.91,6.627
RGR1014,097,N,20151113,CaymanBrac,South Coast Mangroves,mangrove,19.694940,-79.844070,M,4.8,,33,,21,,RGR,,,,,,51.91966667,7.943,10.712,13.883,14.118,6.305,12.069,10.897,7.264,51.925,51.855,51.979,7.571,7.943,10.562,10.712,13.482,13.883,14.118,6.148,6.305,12.069,10.431,7.128,11.776,10.897,7.264
RGR1015,098,N,20151113,CaymanBrac,South Coast Mangroves,mangrove,19.694940,-79.844070,M,3.6,,33,,21,,RGR,,,,,,48.42433333,7.206,10.542,12.05,12.442,6.46,11.378,10.302,7.391,48.601,48.32,48.352,7,7.206,9.917,10.542,12.04,12.05,12.442,6.46,6.46,11.378,10.302,7.266,10.487,9.822,7.391
