RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0288,2938564,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.1,,27,,17,,Reem/RGR,,,,,,33.14133333,5.176,7.319,9.227,9.929,4.347,7.643,6.983,4.481,33.242,32.969,33.213,4.653,5.176,6.723,7.319,9.227,8.956,9.929,4.347,4.291,7.643,6.983,4.481,6.981,6.915,4.446
RGR0289,2938563,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.8,,31,,17,,Reem/RGR,,,,,,49.377,7.248,9.912,13.706,13.903,6.462,11.417,10.48,6.655,49.272,49.299,49.56,7.248,6.791,9.912,9.03,13.647,13.706,13.903,6.462,5.619,11.417,9.309,6.554,10.894,10.48,6.655
RGR0290,2938562,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.2,dewlap photo taken!,28,,16,,Reem/RGR,,,,,,35.801,5.622,7.696,10.254,10.498,4.924,8.34,7.324,5.357,35.942,35.826,35.635,3.866,5.622,7.696,7.348,10.254,9.392,10.498,4.647,4.924,8.34,7.289,5.357,8.19,7.324,5.124
RGR0291,2938561,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.1,,28,,16,,Reem/RGR,,,,,,35.46566667,4.827,7.067,10.156,10.488,5.005,7.865,7.139,5.649,35.491,35.484,35.422,4.827,4.723,6.331,7.067,10.156,9.676,10.488,5.005,4.934,7.865,7.004,5.03,7.64,7.139,5.649
RGR0292,2938560,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.5,,29,,17,,Reem/RGR,,,,,,40.19333333,5.668,8.215,11.433,11.794,5.718,8.645,7.698,5.54,40.116,40.197,40.267,5.668,5.404,6.905,8.215,11.314,11.433,11.794,5.718,5.711,8.645,7.698,5.54,8.611,7.535,5.41
RGR0293,2938559,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.5,,27,,18,,Reem/RGR,,,,,,37.757,5.438,7.58,10.172,10.747,5.093,7.881,7.325,5.178,37.846,37.777,37.648,4.632,5.438,,7.58,10.172,9.621,10.747,3.866,5.093,7.881,7.325,5.178,7.801,6.31,
RGR0294,2938558,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,2.9,,28,,18,,Reem/RGR,,,,,,49.41633333,7.144,9.599,13.53,13.739,7.448,12,11.115,6.972,49.296,49.463,49.49,6.689,7.144,8.984,9.599,13.388,13.53,13.739,7.121,7.448,11.517,10.323,6.964,12,11.115,6.972
RGR0295,2938557,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.9,,32,,18,,Reem/RGR,,,,,,40.94533333,5.591,8.463,11.932,12.541,5.547,9.156,8.373,6.075,41.104,40.79,40.942,5.361,5.591,8.378,8.463,11.053,11.932,12.541,5.547,5.459,9.156,7.905,5.547,9.133,8.373,6.075
RGR0296,2938556,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.6,,29,,16,,Reem/RGR,,,,,,38.229,5.935,8.508,9.78,10.716,5.752,9.342,8.267,6.069,38.293,38.182,38.212,5.935,4.764,7.722,8.508,9.687,9.78,10.716,5.752,5.375,9.342,8.267,5.766,8.824,7.769,6.069
RGR0297,2938555,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.2,,28,,16,,Reem/RGR,,,,,,45.561,6.433,9.515,12.438,12.716,6.648,10.61,9.252,6.678,45.438,45.553,45.692,6.273,6.433,8.37,9.515,11.625,12.438,12.716,6.648,6.565,10.61,9.252,6.59,10.153,9.003,6.678
RGR0298,2938554,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.0,,31,,19,,Reem/RGR,,,,,,48.86333333,7.287,10.139,13.069,13.461,7.064,10.792,9.851,6.964,48.645,48.796,49.149,7.287,6.393,9.23,10.139,13.069,12.894,13.461,7.064,6.719,10.792,9.369,6.559,9.831,9.851,6.964
RGR0299,2938552,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.7,,28,,15,,Reem/RGR,,,,,,38.947,5.641,7.72,11.089,11.425,5.367,8.8,7.599,5.374,39.1,38.882,38.859,4.826,5.641,7.72,7.422,10.62,11.089,11.425,5.367,4.795,8.211,7.572,5.211,8.8,7.599,5.374
RGR0300,2938551,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,,27,,17,,Reem/RGR,,,,,,46.685,6.736,9.895,13.696,13.846,7.03,11.01,9.847,6.458,47.324,46.295,46.436,6.736,6.25,9.405,9.895,13.696,12.954,13.846,7.03,5.791,11.01,8.961,6.185,10.933,9.847,6.458
RGR0301,2938550,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.8,,29,,NA,,Reem/RGR,,,,,,40.52933333,4.502,8.054,11.651,11.074,4.952,9.146,7.984,5.485,40.369,40.661,40.558,3.578,4.502,7.884,8.054,11.464,11.651,11.074,4.952,4.038,9.146,7.948,5.485,8.886,7.984,5.363
