island,n,score,pvalue
Abaco,86,0.6232558139534884,2.2249786235661873e-8
Bimini,57,0.45964912280701753,0.01936310279706077
Cayman Brac,50,0.748,8.15862932768141e-10
Eleuthera,55,0.5199999999999999,0.0023379142678837672
Little Cayman,45,0.6755555555555556,1.17606314953278e-6
Long Island,53,0.6113207547169811,1.5322043973808874e-5
North Andros,28,0.6928571428571428,4.261277882022796e-5
Ragged Island,50,0.41200000000000003,0.12592389659550818
South Andros,31,0.41935483870967744,0.11518428622739774
