island,n,score,pvalue
Abaco,86,0.6697674418604651,1.098934276910768e-10
Bimini,57,0.49122807017543857,0.004626427889538487
Cayman Brac,50,0.736,4.8652089024159295e-9
Eleuthera,55,0.48000000000000004,0.011165038237123337
Little Cayman,45,0.7466666666666667,8.316804356311991e-9
Long Island,53,0.5622641509433962,4.1960590058742753e-4
North Andros,28,0.6357142857142858,7.846047986114213e-4
Ragged Island,50,0.38799999999999996,0.1964138647889193
South Andros,31,0.45806451612903226,0.05891182229109837
