"island","variable","chisq","df","pvalue","signif"
"Abaco","PC1",0.735116893785516,2,0.69242285566156,""
"Abaco","PC2",23.1306622537528,2,9.4894383838615e-06,"***"
"Bimini","PC1",7.37878761873955,2,0.0249871444250537,"*"
"Bimini","PC3",15.1681226771934,2,0.000508491866037501,"***"
"Little Cayman","PC3",19.9489911906792,2,4.65727200296394e-05,"***"
"Long Island","PC1",10.9802796783929,2,0.00412726698020123,"**"
"Long Island","PC2",4.02094132282809,2,0.133925626208122,""
