island,n,score,pvalue
Abaco,86,0.5953488372093023,2.3649072855569386e-7
Bimini,67,0.5373134328358209,1.8709473033484691e-4
Cayman Brac,50,0.76,1.2321166309448017e-10
Eleuthera,56,0.3964285714285714,0.13905470255286967
Little Cayman,45,0.6533333333333333,5.001188288278335e-6
Long Island,53,0.5962264150943396,4.9726287405738034e-5
North Andros,28,0.5642857142857143,0.008153934631537352
Ragged Island,50,0.42800000000000005,0.07557391931449997
South Andros,31,0.5548387096774193,0.004046169953206391
