island,robs,pvalue
Abaco,0.448356282746132,0.06499999999999995
Bimini,0.8101074518266045,0.137
Cayman Brac,-0.7366540072496383,0.754
Eleuthera,0.8435726822767594,0.006000000000000005
Little Cayman,-0.04205715170143634,0.625
Long Island,0.36740536864800977,0.18300000000000005
North Andros,0.0511943310573578,0.505
Ragged Island,-0.36295763688851806,0.62
South Andros,-0.9788398998782817,0.904
