island,name,from,to,pvalue, 
South Andros,PC1,coppice,mangrove,0.5454545454545454,
South Andros,PC2,coastal,coppice,0.45454545454545453,
South Andros,PC2,coastal,mangrove,0.2727272727272727,
South Andros,PC2,coppice,mangrove,0.2727272727272727,
South Andros,PC3,coastal,coppice,0.2727272727272727,
South Andros,PC3,coastal,mangrove,0.6363636363636364,
South Andros,PC3,coppice,mangrove,0.2727272727272727,
South Andros,PC4,coastal,coppice,0.13636363636363635,
South Andros,PC4,coastal,mangrove,0.13636363636363635,
South Andros,PC4,coppice,mangrove,0.2727272727272727,
