island,n,ptest,ntest,pbinom,prandom
Abaco,86,0.2,17,0.001874823404086845,0
Bimini,67,0.2,13,0.03465483468531794,0.0010000000000000009
Cayman Brac,50,0.2,10,0.003403952649494446,0
Eleuthera,56,0.2,11,0.2889972734508627,0.06599999999999995
Little Cayman,45,0.2,9,0.008281257938322462,0
Long Island,53,0.2,10,0.07656353198191335,0.0030000000000000027
North Andros,28,0.2,5,0.5390946502057614,0.22199999999999998
Ragged Island,50,0.2,10,0.21312808006909512,0.16500000000000004
South Andros,31,0.2,6,0.10013717421124824,0.0050000000000000044
