island,variable,W,pshapiro,pseudoF,df1,pvalue1,r2,chisq,df2,pvalue2
Abaco,PC1,0.9610892858860545,0.0109480555661215,0.06923283448399056,2,0.936063936063936,0.0016654826120956958,0.7351168937855164,2,0.6924228556615604
Abaco,PC2,0.9314593117890508,2.0181650036115478e-4,18.525035545917536,2,9.99000999000999e-4,0.3086218171707101,23.130662253752803,2,9.4894383838615e-6
Bimini,PC1,0.8774813448577431,8.325523026227184e-6,3.734750033248267,2,0.026973026973026972,0.10451311481886363,7.378787618739551,2,0.024987144425053714
Bimini,PC3,0.9341874720539289,0.0015503232688287864,9.587083327069038,2,0.001998001998001998,0.23053031278172867,15.168122677193423,2,5.084918660375011e-4
Eleuthera,PC1,0.9164955229568326,8.760340373605235e-4,0.47612935730729294,2,0.6193806193806194,0.017650024990643037,0.2864190779980049,2,0.8665724691422909
Eleuthera,PC2,0.9541625783750086,0.032763176190957165,3.9916215838659976,2,0.023976023976023976,0.13090879974642217,6.240382775119599,2,0.04414871809565061
Eleuthera,PC3,0.9567090185417136,0.04281230046726033,3.1626119710950285,2,0.056943056943056944,0.10661947013219406,5.388048150679708,2,0.06760833022532856
Little Cayman,PC1,0.9424449751770518,0.026468232979295677,4.186866300794167,2,0.02097902097902098,0.16623212474281288,7.847392725206021,2,0.019767890242296325
Little Cayman,PC3,0.9027062980751015,0.0011515316677769693,12.743873840343975,2,9.99000999000999e-4,0.37766481408271135,19.94899119067918,2,4.657272002963939e-5
Long Island,PC1,0.9274500342192975,0.0032169689220003213,2.366513065781213,2,0.09290709290709291,0.08647477521497889,10.980279678392861,2,0.0041272669802012345
North Andros,PC1,0.9186942105691273,0.03220564319140849,0.3405463758730714,2,0.7202797202797203,0.026521174870949876,0.44105090311987283,2,0.8020972239762648
Ragged Island,PC3,0.9539673530775995,0.049760911883251616,1.3415431255117933,2,0.25074925074925075,0.05400401733232321,1.4263836985774958,2,0.4900774450279616
Ragged Island,PC4,0.9133709656360499,0.0013695043917044002,1.7286666347004984,2,0.1848151848151848,0.06851993645684083,2.6573410226835676,2,0.2648291146597776
South Andros,PC1,0.911544636348347,0.01416969213384406,1.4710222428975634,2,0.2597402597402597,0.0950824205280217,2.134610215053769,2,0.34393413515045473
South Andros,PC4,0.9315825626497788,0.0484228974381968,9.842859976859721,2,0.001998001998001998,0.4128221189241785,11.835215053763434,2,0.0026916321372724645
