island,n,score,pvalue, 
Abaco,86,0.6674418604651162,1.098934276910768e-10,***
Bimini,67,0.6358208955223881,2.4012341248713653e-7,***
Cayman Brac,50,0.7759999999999999,1.2321166309448017e-10,***
Eleuthera,56,0.4571428571428572,0.028454025873427047,*
Little Cayman,45,0.7155555555555556,4.819106980136212e-8,***
Long Island,53,0.569811320754717,1.4981135920788535e-4,***
North Andros,28,0.32857142857142857,0.46448668639438995,
Ragged Island,50,0.38,0.1964138647889193,
South Andros,31,0.5935483870967742,0.0013107029563028672,**
