island,n,score,pvalue, 
Abaco,86,0.6465116279069768,1.7268642071854856e-9,***
Bimini,67,0.6059701492537313,2.802661096201753e-6,***
Cayman Brac,50,0.7120000000000001,2.626889505918939e-8,***
Eleuthera,56,0.5571428571428572,2.1508423212224237e-4,***
Little Cayman,45,0.6888888888888889,2.506296481463721e-7,***
Long Island,53,0.6528301886792454,1.1555907959426293e-6,***
North Andros,28,0.42857142857142855,0.1039235339891994,
Ragged Island,50,0.36,0.28736866245783843,
South Andros,31,0.5032258064516129,0.027024092727195193,*
