island,n,ptest,ntest,pbinom,prandom
Abaco,86,0.2,17,0.02728448623686508,0
Bimini,67,0.2,13,0.10353924518431956,0.052000000000000046
Cayman Brac,50,0.2,10,0.019661636945587535,0
Eleuthera,56,0.2,11,0.2889972734508627,0.11699999999999999
Little Cayman,45,0.2,9,0.042422394960117904,0
Long Island,53,0.2,10,0.07656353198191335,0.007000000000000006
North Andros,28,0.2,5,0.2098765432098766,0.04800000000000004
Ragged Island,50,0.2,10,0.21312808006909512,0.17300000000000004
South Andros,31,0.2,6,0.10013717421124824,0.008000000000000007
