island,robs,pvalue
Abaco,0.448356282746132,0.07099999999999995
Bimini,0.8101074518266045,0.14200000000000002
Cayman Brac,-0.7366540072496383,0.761
Eleuthera,0.8435726822767594,0.0040000000000000036
Little Cayman,-0.04205715170143634,0.604
Long Island,0.36740536864800977,0.19499999999999995
North Andros,0.0511943310573578,0.472
Ragged Island,-0.36295763688851806,0.579
South Andros,-0.9788398998782817,0.887
