island,n,score,pvalue, 
Abaco,86,0.6558139534883721,4.4676240484875507e-10,***
Bimini,67,0.617910447761194,8.458141377287731e-7,***
Cayman Brac,50,0.7440000000000001,8.15862932768141e-10,***
Eleuthera,56,0.5321428571428571,0.0014247635124451374,**
Little Cayman,45,0.6844444444444444,1.17606314953278e-6,***
Long Island,53,0.6566037735849056,1.1555907959426293e-6,***
North Andros,28,0.48571428571428577,0.05029255834890867,
Ragged Island,50,0.35600000000000004,0.39537748468967915,
South Andros,31,0.5612903225806452,0.004046169953206391,**
