island,n,ptest,ntest,pbinom,prandom
Abaco,86,0.2,17,0.008008190294757522,0
Bimini,67,0.2,13,0.03465483468531794,0.0010000000000000009
Cayman Brac,50,0.2,10,0.003403952649494446,0
Eleuthera,56,0.2,11,0.2889972734508627,0.05900000000000005
Little Cayman,45,0.2,9,0.008281257938322462,0
Long Island,53,0.2,10,0.019661636945587535,0
North Andros,28,0.2,5,0.2098765432098766,0.08599999999999997
Ragged Island,50,0.2,10,0.44073566021439814,0.33199999999999996
South Andros,31,0.2,6,0.10013717421124824,0.0040000000000000036
