island,n,score,pvalue, 
Abaco,86,0.6162790697674418,2.2249786235661873e-8,***
Bimini,67,0.617910447761194,8.458141377287731e-7,***
Cayman Brac,50,0.7440000000000001,8.15862932768141e-10,***
Eleuthera,56,0.46071428571428574,0.028454025873427047,*
Little Cayman,45,0.6577777777777778,5.001188288278335e-6,***
Long Island,53,0.6490566037735849,1.1555907959426293e-6,***
North Andros,28,0.5642857142857143,0.008153934631537352,**
Ragged Island,50,0.35200000000000004,0.39537748468967915,
South Andros,31,0.6000000000000001,0.0013107029563028672,**
