island,n,score,pvalue, 
Abaco,86,0.613953488372093,7.427972925633242e-8,***
Bimini,67,0.5880597014925373,8.745677784860462e-6,***
Cayman Brac,50,0.72,4.8652089024159295e-9,***
Eleuthera,56,0.525,0.0014247635124451374,**
Little Cayman,45,0.6844444444444444,1.17606314953278e-6,***
Long Island,53,0.6905660377358491,6.321007206544493e-8,***
North Andros,28,0.40714285714285714,0.19107386940467208,
Ragged Island,50,0.344,0.39537748468967915,
South Andros,31,0.535483870967742,0.01108022794524377,*
