island,chisq,df,pvalue, 
Abaco,47.7448066995864,20,4.6189931640121826e-4,***
Bimini,35.23021374438829,20,0.01891189314076912,*
Cayman Brac,37.08802458931193,20,0.01142083796009479,*
Eleuthera,61.61075721815539,20,3.999911694845309e-6,***
Little Cayman,33.48457136880843,20,0.029830259474098324,*
Long Island,53.01165850268487,20,8.09522932746452e-5,***
North Andros,33.307034500690136,20,0.031212780695882292,*
Ragged Island,26.81283459831416,20,0.1406123551149333,
South Andros,46.31343568357414,20,7.298906613426203e-4,***
