island,n,score,pvalue, 
Abaco,86,0.6348837209302326,6.351748016442116e-9,***
Bimini,67,0.5940298507462687,8.745677784860462e-6,***
Cayman Brac,50,0.7040000000000001,2.626889505918939e-8,***
Eleuthera,56,0.5285714285714286,0.0014247635124451374,**
Little Cayman,45,0.7511111111111111,8.316804356311991e-9,***
Long Island,53,0.671698113207547,2.816862167964729e-7,***
North Andros,28,0.42857142857142855,0.1039235339891994,
Ragged Island,50,0.296,0.7387613766683047,
South Andros,31,0.567741935483871,0.004046169953206391,**
