RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0306,2938545,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0307,2938544,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0308,2938543,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0309,2938542,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0310,2938541,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,no tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0311,2938540,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0312,2938539,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0313,2938538,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0314,2938537,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0315,2938536,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0316,2938535,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0317,2938534,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
