RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0906,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,mature coppice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.623
RGR0907,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0908,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0909,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0910,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0911,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0912,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0913,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0914,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0915,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0916,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0917,,Y,20151015,CatIsland,NewBight,coppice,24.24584,-75.37292,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0851,,Y,20150810,CaySal,Dog Rock,coastal,24.03251,-79.833588,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0852,,Y,20150810,CaySal,Dog Rock,coastal,24.03251,-79.833588,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0853,,Y,20150810,CaySal,Dog Rock,coastal,24.03251,-79.833588,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0854,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0855,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0856,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0857,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0858,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0859,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0860,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0861,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0862,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0863,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0864,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0865,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0866,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0867,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0868,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0869,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0870,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0871,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0872,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0873,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0874,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0875,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0876,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0877,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0878,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0879,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0880,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0881,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0882,,Y,20150812,CaySal,Cay Sal,palm forest,23.690791,-80.390099,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0883,,Y,20150813,CaySal,Double Headed Shot,coastal,23.992448,-80.337305,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0884,,Y,20150813,CaySal,Double Headed Shot,coastal,23.992448,-80.337305,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0885,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0886,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0887,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0888,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,M,,juvenile exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.057
RGR0889,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0890,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0891,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0892,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0893,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0894,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0895,,Y,20150813,CaySal,Elbow Cay,casuarina,23.954723,-80.4424,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0896,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0897,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0898,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,M,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0899,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,M,,juvenile exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.932
RGR0900,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0901,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0902,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0903,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0904,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0905,,Y,20150814,CaySal,Elephant Rock,coastal,23.929161,-80.469592,F,,Mass NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0918,1,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0919,2,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0920,3,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0921,4,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0922,5,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0923,6,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0924,7,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0925,8,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0926,9,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0927,10,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0928,11,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0929,12,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0930,13,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0931,14,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0932,15,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0933,16,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0934,17,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0935,18,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0936,19,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0937,20,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0938,21,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0939,22,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0940,23,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0941,24,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0942,25,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0943,26,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0944,27,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0945,28,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0946,29,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0947,30,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0948,31,N,20151111,CaymanBrac,LongBeach,secondary,19.755648,-79.738622,M,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0949,32,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0950,33,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0951,34,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0952,35,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0953,36,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0954,37,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0955,38,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0956,39,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0957,40,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0958,41,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0959,42,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0960,43,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0961,44,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0962,45,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0963,46,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0964,47,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0965,48,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0966,49,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,M,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0967,50,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0968,51,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0969,52,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0970,53,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0971,54,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0972,55,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0973,56,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0974,57,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0975,58,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0976,59,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0977,60,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0978,61,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0979,62,N,20151112,CaymanBrac,Bight Road,coppice,19.72092,-79.78869,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0980,63,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0981,64,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0982,65,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0983,66,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0984,67,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0985,68,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0986,69,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0987,70,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0988,71,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0989,72,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0990,73,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0991,74,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0992,75,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0993,76,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0994,77,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0995,78,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,M,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0996,79,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0997,80,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0998,81,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0999,82,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1000,83,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1001,84,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1002,85,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1003,86,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1004,87,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1005,88,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1006,89,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR1007,90,N,20151113,CaymanBrac,South Coast- West End,coastal,19.68784,-79.86265,F,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
