island,pillai,pseudoF,df1,df2,pvalue
Abaco,0.5965070660751381,8.606575634294023,8,162,9.577212923908527e-10
Bimini,0.44473148840921517,3.717370541634808,8,104,7.389549198056813e-4
Cayman Brac,0.9051263963628452,9.300317338234583,8,90,2.915159930191849e-9
Eleuthera,0.38463073547916177,2.9763375465210853,8,100,0.00494833730951392
Little Cayman,1.0124126247598229,10.251372690073204,8,80,9.494428101231931e-10
Long Island,0.5214581428473537,4.232208702037587,8,96,2.2226428998979258e-4
North Andros,0.9781768944772944,5.504394168467413,8,46,6.80339996577155e-5
Ragged Island,0.2952266901527641,1.948235724382743,8,90,0.06227458087345238
South Andros,0.5891570676991913,2.7143495936854887,8,52,0.014095392293041464
