island,variable,pseudoF,df,pvalue,r2
Abaco,PC1,0.06923283448399056,2,0.9230769230769231,0.0016654826120956958
Abaco,PC2,18.525035545917536,2,9.99000999000999e-4,0.3086218171707101
Bimini,PC1,3.734750033248267,2,0.017982017982017984,0.10451311481886363
Cayman Brac,PC3,16.957342192225223,2,9.99000999000999e-4,0.41914128000934164
Eleuthera,PC1,0.47612935730729294,2,0.6183816183816184,0.017650024990643037
Little Cayman,PC3,12.743873840343975,2,9.99000999000999e-4,0.37766481408271135
Long Island,PC1,2.366513065781213,2,0.1108891108891109,0.08647477521497889
