island,variable,AICc,dAIC,AICw,model,loglik,lratio,df,pvalue
Abaco,PC1,255.81380732283986,2.0571594021167243,0.7366404486192464,OLS,-121.45519756003394,0.14117317150135023,2,0.9318470513561719
Abaco,PC2,225.29231056393047,3.980245141476985,0.8797561043182914,OLS,-105.6428558656592,31.765856560250825,2,1.265120495284997e-7
Abaco,PC3,229.85252229621028,1.439578330033953,0.6725605880776445,OLS,-108.00537519684029,27.0408178978887,2,1.3432628393729335e-6
Abaco,PC4,254.59085566747842,0.72252515032568,0.5893460335062016,OLS,-120.82162019641295,1.40832789874338,2,0.4945218467744038
Bimini,PC1,162.9247813328811,-0.3206269920637226,0.539992758127195,GLS,-72.42765955646587,10.02675026006898,2,0.006648426093244947
Bimini,PC2,165.35962826059236,3.081220778059901,0.8235534403044275,OLS,-76.52326818154461,7.703580527577628,2,0.02124167417770547
Bimini,PC3,163.57566516367697,3.1307510443867557,0.8271233527358028,OLS,-75.58173210261705,9.586652685432682,2,0.00828485323573347
Bimini,PC4,172.46548430706218,2.4264919829196288,0.7708727858541453,OLS,-80.27358109495924,0.2029547007483643,2,0.9035016430846134
Cayman Brac,PC1,136.6443806517536,-4.052448400108176,0.8835230724930903,GLS,-59.28901350793519,13.809782317711992,2,0.0010028682256368125
Cayman Brac,PC2,144.75368955205542,3.509224202109664,0.8525335789298485,OLS,-66.23671350285204,8.410290948887223,2,0.014918615633891453
Cayman Brac,PC3,127.12672026653287,2.7682249118226565,0.7996506666415373,OLS,-56.8606660105528,27.16238593348571,2,1.2640458783404806e-6
Cayman Brac,PC4,147.36926876524288,4.330927366370673,0.8971049835614412,OLS,-67.62797904178151,5.627759871028275,2,0.05997185347870818
Eleuthera,PC1,166.3293606845752,2.257690576343748,0.7556257381688816,OLS,-77.29196833493862,0.49009935588594544,2,0.7826656560562544
Eleuthera,PC2,155.78266465356688,-2.38330874932214,0.7670368172406745,GLS,-68.73727765283263,12.800056813330059,2,0.001661510074543429
Eleuthera,PC3,160.46662993974678,-0.21865558712630673,0.5273047569802715,GLS,-71.18441995146836,5.585280903223975,2,0.061259248097262235
Eleuthera,PC4,160.61156969862213,3.8501669151884244,0.8727042336468724,OLS,-74.26813656352113,6.537762898720928,2,0.03804896297332886
Little Cayman,PC1,130.59977598142353,2.500942595646052,0.7773814344215715,OLS,-59.25608928368976,8.18101090769838,2,0.01673077478648551
Little Cayman,PC2,112.66053352777342,-3.610692107607335,0.8587984615177008,GLS,-46.73526806446114,29.76057538237336,2,3.448046917152424e-7
Little Cayman,PC3,118.31577537628861,1.4051326536706057,0.6687565140693789,OLS,-52.67537467379606,21.342440127485787,2,2.3203206822350747e-5
Little Cayman,PC4,135.5793303223632,2.5263796181749285,0.779574726892597,OLS,-61.92370768062173,2.845774113834466,2,0.24101718115879692
Long Island,PC1,145.5124816251753,3.7274684029836465,0.8657316062083198,OLS,-66.41090782008878,16.576114546070926,2,2.5150258930366676e-4
Long Island,PC2,158.81541366824808,-1.288797266826208,0.6557470997238366,GLS,-70.55521333212546,1.3455484654132306,2,0.510290946442629
Long Island,PC3,154.36327968561554,3.019588411044168,0.8190307061146831,OLS,-71.1018307921221,7.194268602004286,2,0.027402136312932864
Long Island,PC4,155.58979466600934,0.4658238342109655,0.5579661703483884,OLS,-71.75188373173083,5.894162722786831,2,0.05249268977852836
North Andros,PC1,88.9971423842038,2.873682706976396,0.8079650403127743,OLS,-39.047545918684584,0.34717198530799465,2,0.8406448587711436
North Andros,PC2,74.73533931686197,-0.3748678693060725,0.5467217799140933,GLS,-27.495637176145543,17.242869202513404,2,1.802015518049886e-4
North Andros,PC3,87.62252204815543,0.24907247927519904,0.5310938833278419,OLS,-38.2777585304975,1.8867467616821756,2,0.38931231901904956
North Andros,PC4,73.55663681528253,5.3924501506859315,0.9368035264527051,OLS,-30.400862800088674,17.640538222499814,2,1.4770860483569209e-4
