island,variable,chisq,df,pvalue
Abaco,PC1,0.7351168937855164,2,0.6924228556615604
Abaco,PC2,23.130662253752803,2,9.4894383838615e-6
Bimini,PC1,7.378787618739551,2,0.024987144425053714
Cayman Brac,PC3,22.46006305267207,2,1.3269644146951744e-5
Eleuthera,PC1,0.2864190779980049,2,0.8665724691422909
Little Cayman,PC3,19.94899119067918,2,4.657272002963939e-5
Long Island,PC1,10.980279678392861,2,0.0041272669802012345
