island,pseudoF,df,pvalue,r2
Abaco,7.273422840214648,2,9.99000999000999e-4,0.14912676651878465
Bimini,3.3774524056063715,2,0.001998001998001998,0.11118287210230438
Cayman Brac,6.872807435343862,2,9.99000999000999e-4,0.22628159909071152
Eleuthera,2.766079587110616,2,0.004995004995004995,0.0961576838697905
Little Cayman,7.1163324949607745,2,9.99000999000999e-4,0.2531031561899554
Long Island,3.7476776495812825,2,0.001998001998001998,0.13036453571183929
North Andros,4.046302762931308,2,9.99000999000999e-4,0.24454422361932376
Ragged Island,1.8726725330668363,2,0.056943056943056944,0.07380667253819176
South Andros,2.4182288986918334,2,0.012987012987012988,0.14728926692479677
