"variable","test","contrast1","contrast2","statistic","pvalue","signif"
"PC1","tukey","coastal","coppice",-2.35040326693575,0.221045160559473,""
"PC1","tukey","coastal","mangrove",0.296681187206561,0.976031544259869,""
"PC1","tukey","coppice","mangrove",2.41089301711093,0.20446376958097,""
"PC2","dunnett","coastal","coppice",-0.153063386616626,0.998195662397948,""
"PC2","dunnett","coastal","mangrove",1.89695739149904,0.165900960269122,""
"PC2","dunnett","coppice","mangrove",2.01122629462918,0.129605166670189,""
"PC3","dunnett","coastal","coppice",-0.0896206318270365,0.999634988212632,""
"PC3","dunnett","coastal","mangrove",0.591545136828947,0.911289613512871,""
"PC3","dunnett","coppice","mangrove",0.669121712729981,0.877467764681384,""
