"variable","chisq","df","pvalue","signif"
"PC1",3.13373967884377,2,0.208697417453049,""
"PC2",6.44097133296418,2,0.0399356581394424,"*"
"PC3",2.20069057855517,2,0.332756166723002,""
"PC4",0.988359267744954,2,0.61007118379787,""
