island,longitude,latitude,habitat,wPC1,wPC2,wPC3,wPC4
Abaco,-77.725588,26.908272,mangrove,1.0059929091885862,0.11673073140929699,-0.057190667450356295,-1.2594852366993976
Abaco,-77.58002,26.901974,coastal,0.15471601888811728,0.5320801689381784,0.0793739236657481,-2.0458411581818092
Abaco,-77.576286,26.912775,coppice,-0.08420901516022411,0.032779202287201985,0.6356492730735026,-0.651528956855264
Abaco,-77.1784,26.104472,coastal,0.3041840120533471,-0.09310306214947,-0.9873454198568355,-0.13349684088090036
Abaco,-77.005543,26.325377,mangrove,-0.3155307880247983,-1.2236269240188395,0.8991080265375377,0.18533666829303133
Abaco,-77.003854,26.31705,coppice,0.09200315115736232,0.31429826749596046,0.12379822848426328,0.48337931071622625
Abaco,-76.996839,26.325994,coastal,-0.3366468434224882,0.7497858348906751,-0.20683275518889854,0.5404284811567124
Bimini,-79.302184,25.585934,coastal,-0.2626581178315558,-1.2699045976606145,-0.18530921899603048,0.164164644137836
Bimini,-79.301399,25.705249,coastal,0.46793379279091846,0.08260932511232093,-0.24239903455762854,0.010948021577086905
Bimini,-79.3002,25.704172,coppice,-0.2698519835626662,0.17079383508392626,0.9259835495151961,-0.12446750537996125
Bimini,-79.270911,25.706629,mangrove,-0.44650914999685537,0.5329914121524129,-0.28823363570925614,-0.013709731347822347
Cayman Brac,-79.86265,19.68784,coastal,0.48312243950990874,-0.5225824691873119,-0.7808762677471003,0.4431604091351463
Cayman Brac,-79.84407,19.69494,mangrove,0.21932239974505735,0.4530127588761803,0.8100849581518479,-0.015320590700262164
Cayman Brac,-79.78869,19.72092,coppice,-0.609739854906367,0.007640007606367416,-0.11435001513193944,-0.35483089417348535
Eleuthera,-76.33474672,24.81462811,coppice,-0.12278274261394055,-0.8570852288312067,0.04545030799760637,0.11678663625774001
Eleuthera,-76.30580242,24.81272936,coastal,-0.5195173701097495,-0.6424013574246649,-0.49156312188983287,-0.5375297795711841
Eleuthera,-76.29009171,24.79811727,mangrove,-0.16301749869693127,-0.6509474456208347,0.1257308473601309,0.6848686263671004
Eleuthera,-76.16164315,24.91285413,coppice,0.39128108412613694,0.6020081250935887,0.5396866817602304,-0.5394700423414763
Eleuthera,-76.14915814,24.93347771,coastal,0.2540891672581151,1.228454808715999,-0.3147730805164267,0.40192925614618746
Little Cayman,-80.06602,19.69062,coppice,-0.621365737303212,0.6144201970474428,-0.17925758673467024,-0.4039103207418039
Little Cayman,-80.02047,19.68647,coastal,0.3945176694284995,0.3552407309971391,0.7426325399372419,0.1745005260707433
Little Cayman,-79.98714,19.69861,mangrove,0.04684927920962821,-0.8382584244700425,-0.6546038836323168,0.11752593160618822
Long Island,-75.229859,23.473987,mangrove,0.20722645741963464,0.36574192072076156,0.48394757425695906,0.5868282815645479
Long Island,-75.206269,23.428201,coastal,-0.09659331999819099,-0.7976486792530876,-0.13975804668620276,-0.34748905424158527
Long Island,-75.188354,23.429152,coppice,-0.4849992580177379,-0.13261624937027106,0.36638435459815166,-0.14782187322126153
Long Island,-75.140756,23.38831,coastal,0.31637367911093683,0.3174043321465482,-0.6264449351782851,-0.13027318080160052
North Andros,-77.89081955,24.83914585,coastal,-0.09764753412494925,-0.5158542965905977,-0.40314089878420356,0.06619597018321716
North Andros,-77.84284791,24.75163828,coppice,-0.139433652636521,0.0895863248972451,0.51860434128482,0.1915847293203097
North Andros,-77.75398322,24.66438795,mangrove,0.21337306808532328,0.3836411745240173,-0.10391709825055485,-0.23200262955317413
Ragged Island,-75.736405,22.176811,coppice,-0.26906423728675516,0.4402004319559189,-0.0882214621332155,-0.35980248264660153
Ragged Island,-75.731431,22.209745,coastal,0.04931052144691473,0.07608040264000744,-0.22085066044850765,0.028733871888590605
Ragged Island,-75.727624,22.204522,mangrove,0.24577987498603818,-0.27261425956915725,0.1180930879386306,0.9329839643897332
Ragged Island,-75.726981,22.197293,mangrove,0.0986536319137831,-0.749473018738192,0.5882432772407233,-0.6357160140275627
South Andros,-77.60495919,24.20267534,mangrove,-0.2501734398466767,-0.5389763024275138,0.31566396431951976,-0.21128790876142314
South Andros,-77.59360867,24.12892741,coppice,0.4664705773910055,0.6573378664885128,-0.5864230736824443,-0.6870030652887745
South Andros,-77.54530896,24.07639677,coastal,-0.11961539183589291,0.055167483073355145,0.14898400913077617,0.8718482492736049
