"island","accu","n","ptest","ntest","pvalue"
"Abaco",0.663470588235294,86,0.2,17,0.00187482340408685
"Bimini",0.556758241758242,67,0.2,13,0.0346548346853179
"Cayman Brac",0.7476,50,0.2,10,0.00340395264949445
"Eleuthera",0.436136363636364,56,0.2,11,0.288997273450863
"Little Cayman",0.747333333333333,45,0.2,9,0.00828125793832246
"Long Island",0.571181818181818,53,0.2,10,0.0765635319819133
"North Andros",0.385333333333333,28,0.2,5,0.539094650205761
"Ragged Island",0.4202,50,0.2,10,0.213128080069095
"South Andros",0.590952380952381,31,0.2,6,0.100137174211248
