"island","accu","n","ptest","ntest","pvalue"
"Abaco",0.656202614379085,86,0.2,17,0.00187482340408685
"Bimini",0.607824175824176,67,0.2,13,0.0346548346853179
"Cayman Brac",0.8316,50,0.2,10,0.000355636843976992
"Eleuthera",0.537727272727273,56,0.2,11,0.122085048010974
"Little Cayman",0.733111111111111,45,0.2,9,0.00828125793832246
"Long Island",0.547545454545455,53,0.2,10,0.0765635319819133
"North Andros",0.529533333333333,28,0.2,5,0.209876543209877
"Ragged Island",0.4832,50,0.2,10,0.213128080069095
"South Andros",0.571285714285714,31,0.2,6,0.100137174211248
