"island","accu","n","ptest","ntest","pvalue"
"Abaco",0.61175816993464,86,0.2,17,0.00800819029475752
"Bimini",0.547131868131868,67,0.2,13,0.0346548346853179
"Cayman Brac",0.7212,50,0.2,10,0.00340395264949445
"Eleuthera",0.437181818181818,56,0.2,11,0.288997273450863
"Little Cayman",0.733555555555556,45,0.2,9,0.00828125793832246
"Long Island",0.650618181818182,53,0.2,10,0.0196616369455875
"North Andros",0.452533333333333,28,0.2,5,0.209876543209877
"Ragged Island",0.3644,50,0.2,10,0.440735660214398
"South Andros",0.600095238095238,31,0.2,6,0.100137174211248
