"variable","K2","df","pvalue","signif"
"PC1",1.92074317860473,2,0.382750633506116,""
"PC2",3.86041809535354,2,0.145117858761278,""
"PC3",4.28283531133095,2,0.117488167139418,""
"PC4",2.05758487522392,2,0.357438329146815,""
