island,n,score,pvalue
Abaco,86,0.5813953488372093,7.184891264166993e-7
Bimini,67,0.555223880597015,7.139619854279466e-5
Cayman Brac,50,0.708,2.626889505918939e-8
Eleuthera,56,0.4428571428571429,0.05132796135589701
Little Cayman,45,0.7111111111111111,4.819106980136212e-8
Long Island,53,0.6641509433962265,2.816862167964729e-7
North Andros,28,0.42857142857142855,0.1039235339891994
Ragged Island,50,0.424,0.07557391931449997
South Andros,31,0.5741935483870968,0.004046169953206391
